pig_id_unique,context,sample,institute,age_days,weight_start_kg,date,change_CORT,change_OXT,hr_min,weight_testsubjects,testpen_space_m2,play,escape,inactivity,ears_forward,ears_backward,CORT_change,OXT_change
3395,positive,post,WUR,59,25.18,12.11.2020,0.013019213,-0.23961931,9.166666667,80.82,11.25,NA,NA,NA,NA,NA,0.029977846,-0.551743852
3612,negative,post,WUR,58,24.69,09.11.2020,0.187506359,-0.353007254,12.38333333,24.69,0.72,-0.343304873,0.203156671,-0.502039678,0.250604989,-0.211491456,0.431749346,-0.812829242
3612,positive,post,WUR,58,24.69,12.11.2020,0.032792513,0.008603148,10,84.39,11.25,1.448454596,-0.489990509,0.59657261,0.856740792,-0.904638637,0.075507552,0.019809481
3822,negative,post,WUR,60,28.27,10.11.2020,0.30364304,0.227833936,15.41666667,28.27,0.72,-0.343304873,0.203156671,-0.502039678,0.068283432,0.193973652,0.699163938,0.524607024
3822,positive,post,WUR,60,28.27,12.11.2020,0.071330187,-0.18841167,12,87.88,11.25,0.755307416,-0.489990509,-0.502039678,0.761430612,-0.904638637,0.164243825,-0.433833903
3877,negative,post,WUR,51,16.22,05.10.2020,0.191914223,0.027463257,12.65,16.22,0.72,-0.343304873,-0.489990509,-0.502039678,0.761430612,-0.904638637,0.441898828,0.063236486
3877,positive,post,WUR,51,16.22,08.10.2020,-0.004511502,-0.220655522,9.916666667,63.44,11.25,NA,NA,NA,NA,NA,-0.010388116,-0.508078116
3987,negative,post,WUR,59,18.29,10.11.2020,0.618365388,0.125328568,10.96666667,18.29,0.72,-0.343304873,0.203156671,0.191107502,0.538287061,-0.211491456,1.423838925,0.288579692
3987,positive,post,WUR,59,18.29,12.11.2020,0.058473735,-0.233914466,11.23333333,78.85,11.25,-0.343304873,-0.489990509,-0.502039678,0.943752169,-0.904638637,0.134640749,-0.538607961
4053,negative,post,WUR,54,17.4,06.10.2020,0.060344377,-0.365332418,11.01666667,17.4,0.72,-0.343304873,-0.489990509,-0.502039678,-0.442542192,1.041271512,0.138948064,-0.841208979
4053,positive,post,WUR,54,17.4,08.10.2020,0.001141004,-0.265245198,11.03333333,65.55,11.25,-0.343304873,-0.489990509,-0.502039678,0.538287061,0.193973652,0.002627259,-0.61074964
4084,negative,post,WUR,59,21.88,09.11.2020,0.177536624,0.090423471,8,21.88,0.72,-0.343304873,0.203156671,-0.502039678,0.068283432,-0.211491456,0.408793185,0.208207736
4084,positive,post,WUR,59,21.88,12.11.2020,0.241981799,-0.030316337,9.15,80.82,11.25,NA,NA,NA,NA,NA,0.557183683,-0.069805947
4379,negative,post,WUR,59,19.89,09.11.2020,0.039494311,0.178850586,12.56666667,19.89,0.72,-0.343304873,2.218059692,-0.502039678,-0.154860119,0.704799276,0.09093901,0.411818693
4379,positive,post,WUR,59,19.89,12.11.2020,0.227525883,0.119284983,10.03333333,84.39,11.25,1.042989488,-0.489990509,0.59657261,0.538287061,0.481655724,0.523897706,0.274663824
4645,negative,post,WUR,58,18.08,09.11.2020,NA,NA,12.8,18.08,0.72,-0.343304873,0.203156671,0.191107502,0.761430612,-0.211491456,NA,NA
4645,positive,post,WUR,58,18.08,12.11.2020,0.154834308,0.07969349,10.01666667,84.39,11.25,1.602605276,-0.489990509,1.107398234,0.761430612,0.193973652,0.356519169,0.183501043
